,event_type,system_time,clock_time,message_queue_length
0,sendboth,1195867243,0,0
1,send1,1701855389,1,0
2,internal,2205129705,2,0
3,internal,2710005458,3,0
4,internal,3217344611,4,0
5,internal,3723121144,5,0
6,internal,4232106878,6,0
7,send2,4739784399,7,0
8,send2,5246772784,8,0
9,internal,5752970199,9,0
10,internal,6260753383,10,0
11,internal,6767387907,11,0
12,internal,7273268375,12,0
13,internal,7778633494,13,0
14,internal,8284177789,14,0
15,send2,8795397919,15,0
16,internal,9306215548,16,0
17,internal,9816018544,17,0
18,internal,10326759393,18,0
19,sendboth,10837013751,19,0
20,internal,11346145806,20,0
21,internal,11852877892,21,0
22,internal,12362185668,22,0
23,internal,12870893799,23,0
24,internal,13379878751,24,0
25,send1,13886452883,25,0
26,internal,14397438027,26,0
27,send2,14907111586,27,0
28,internal,15416214060,28,0
29,sendboth,15926291438,29,0
30,internal,16434526054,30,0
31,send2,16939589418,31,0
32,internal,17444892497,32,0
33,internal,17950802895,33,0
34,send2,18456902668,34,0
35,internal,18961910762,35,0
36,sendboth,19469467700,36,0
37,internal,19976355153,37,0
38,sendboth,20485309927,38,0
39,internal,20994912536,39,0
40,internal,21502166589,40,0
41,internal,22011445398,41,0
42,internal,22517293689,42,0
43,send2,23023168349,43,0
44,internal,23530841132,44,0
45,internal,24040218787,45,0
46,internal,24548683991,46,0
47,internal,25058416863,47,0
48,internal,25567419401,48,0
49,internal,26075310196,49,0
50,sendboth,26583248446,50,0
51,send2,27090182354,51,0
52,internal,27597266437,52,0
53,internal,28106381827,53,0
54,send2,28611588568,54,0
55,sendboth,29119371220,55,0
56,send1,29628094903,56,0
57,internal,30130479693,57,0
