,event_type,system_time,clock_time,message_queue_length
0,internal,1595019132,0,0
1,internal,1937049282,1,0
2,internal,2277985664,2,0
3,internal,2617200340,3,0
4,send1,2953060104,4,0
5,sendboth,3293420139,5,0
6,internal,3632918307,6,0
7,internal,3969834188,7,0
8,internal,4313939847,8,0
9,internal,4655670389,9,0
10,internal,4994755858,10,0
11,internal,5333483209,11,0
12,send1,5676518896,12,0
13,internal,6015486583,13,0
14,internal,6350561686,14,0
15,send2,6687540326,15,0
16,receive,7028852944,16,0
17,sendboth,7367719410,17,0
18,receive,7709916964,18,0
19,internal,8050814587,19,0
20,send2,8389895120,20,0
21,internal,8732038493,21,0
22,internal,9074308092,22,0
23,send2,9412485578,23,0
24,send1,9751257198,24,0
25,send1,10093452101,25,0
26,sendboth,10431503981,26,0
27,internal,10770373576,27,0
28,sendboth,11112148200,28,0
29,internal,11450711924,29,0
30,send1,11791365979,30,0
31,internal,12126488599,31,0
32,send2,12462138666,32,0
33,internal,12801120329,33,0
34,sendboth,13139316506,34,0
35,internal,13482708630,35,0
36,internal,13825035989,36,0
37,send1,14164968814,37,0
38,internal,14507227448,38,0
39,sendboth,14847802963,39,0
40,internal,15186501081,40,0
41,internal,15528497650,41,0
42,internal,15868772317,42,0
43,internal,16212150807,43,0
44,send2,16553282969,44,0
45,receive,16897801887,45,0
46,internal,17237799609,46,0
47,internal,17579804046,47,0
48,internal,17923203990,48,0
49,send1,18263134960,49,0
50,internal,18599888047,50,0
51,internal,18943433924,51,0
52,sendboth,19281802057,52,0
53,internal,19620918631,53,0
54,receive,19959967445,54,0
55,send2,20299678301,55,0
56,send2,20639822338,56,0
57,internal,20981884954,57,0
58,internal,21320977917,58,0
59,internal,21660007557,59,0
60,receive,22001946826,60,0
61,send2,22343501094,61,0
62,internal,22686495565,62,0
63,internal,23022831187,63,0
64,send1,23360058535,64,0
65,internal,23695237617,65,0
66,internal,24035406695,66,0
67,send1,24376646431,67,0
68,send2,24715231506,68,0
69,internal,25054303953,69,0
70,receive,25394331199,70,0
71,internal,25732685666,71,0
72,internal,26075096910,72,0
73,receive,26413443620,73,0
74,send1,26754669735,74,0
75,internal,27096784133,75,0
76,internal,27437742879,76,0
77,sendboth,27774542752,77,0
78,internal,28113008353,78,0
79,internal,28454853804,79,0
80,internal,28796645929,80,0
81,internal,29138860436,81,0
82,internal,29481873660,82,0
83,internal,29823051617,83,0
84,internal,30163191134,84,0
85,sendboth,30504058676,85,0
86,send1,30843554367,86,0
87,internal,31184814388,87,0
88,internal,31524814914,88,0
89,internal,31867874306,89,0
90,internal,32209911574,90,0
91,receive,32551776372,91,0
92,send1,32893605705,92,0
93,send1,33233068941,93,0
94,internal,33574838805,94,0
95,internal,33914924608,95,0
96,internal,34254507964,96,0
97,internal,34593361632,97,0
98,receive,34931808665,98,0
