,event_type,system_time,clock_time,message_queue_length
0,receive,982735536,0,0
1,internal,1237159020,5,0
2,internal,1493954043,6,0
3,internal,1749532627,7,0
4,receive,2009500938,8,0
5,send2,2268806246,9,0
6,send1,2524082302,10,0
7,sendboth,2778585019,11,0
8,internal,3032738259,12,0
9,send2,3289366200,13,0
10,sendboth,3545327363,14,0
11,internal,3798175782,15,0
12,receive,4056425997,16,0
13,internal,4314343791,18,0
14,receive,4570381498,19,0
15,send1,4827146104,20,0
16,internal,5082837551,21,0
17,internal,5343795339,22,0
18,send1,5599516354,23,0
19,internal,5854540337,24,0
20,internal,6113083787,25,0
21,internal,6370598978,26,0
22,receive,6626976011,27,0
23,send1,6885146830,28,0
24,internal,7139259351,29,0
25,sendboth,7399391590,30,0
26,internal,7657420413,31,0
27,internal,7916118486,32,0
28,internal,8173597583,33,0
29,internal,8432773326,34,0
30,send1,8689097063,35,0
31,receive,8946774946,36,0
32,internal,9204636148,37,0
33,internal,9461922845,38,0
34,send2,9718763408,39,0
35,sendboth,9974915154,40,0
36,sendboth,10232624484,41,0
37,internal,10487408141,42,0
38,send2,10743640132,43,0
39,internal,10999240618,44,0
40,internal,11254077086,45,0
41,send2,11509490354,46,0
42,internal,11766479612,47,0
43,internal,12026158389,48,0
44,internal,12282624755,49,0
45,send1,12538636934,50,0
46,internal,12796355739,51,0
47,receive,13049257159,52,0
48,internal,13305943366,53,0
49,internal,13562896316,54,0
50,sendboth,13818887679,55,0
51,internal,14078252137,56,0
52,receive,14334361833,57,0
53,internal,14590750341,59,0
54,internal,14845758001,60,0
55,internal,15102558408,61,0
56,send1,15359330506,62,0
57,internal,15615916965,63,0
58,sendboth,15869991925,64,0
59,send2,16123605178,65,0
60,sendboth,16380787285,66,0
61,internal,16637714618,67,0
62,sendboth,16890081810,68,0
63,internal,17145234894,69,0
64,internal,17400356645,70,0
65,send2,17655323650,71,0
66,internal,17909324974,72,0
67,send2,18165886473,73,0
68,internal,18422289043,74,0
69,send2,18680818032,75,0
70,internal,18933373598,76,0
71,internal,19190200486,77,0
72,receive,19445835007,78,0
73,internal,19699234934,79,0
74,sendboth,19954562005,80,0
75,internal,20215207987,81,0
76,send1,20470996956,82,0
77,receive,20730450139,83,0
78,internal,20990115213,85,0
79,internal,21249274925,86,0
80,internal,21507459810,87,0
81,internal,21765948065,88,0
82,internal,22025081308,89,0
83,receive,22282459088,90,0
84,internal,22538039935,91,0
85,receive,22793316329,92,0
86,internal,23049403178,93,0
87,internal,23309460258,94,0
88,send2,23566740227,95,0
89,internal,23823292685,96,0
90,internal,24078649866,97,0
91,sendboth,24332523108,98,0
92,send1,24589621655,99,0
93,receive,24847420931,100,0
94,internal,25101308656,102,0
95,internal,25358132407,103,0
96,receive,25611806851,104,0
97,internal,25867332712,105,0
98,internal,26123717530,106,0
99,send2,26377723367,107,0
100,internal,26632410524,108,0
101,internal,26886872185,109,0
102,internal,27140224940,110,0
103,internal,27396324238,111,0
104,internal,27649272854,112,0
105,internal,27904396915,113,0
106,sendboth,28160086182,114,0
107,send1,28416996655,115,0
108,internal,28673228079,116,0
109,sendboth,28927003160,117,0
110,internal,29185364204,118,0
111,internal,29440679881,119,0
112,sendboth,29696947224,120,0
113,internal,29952944933,121,0
114,sendboth,30209342868,122,0
115,internal,30465683428,123,0
116,internal,30721601367,124,0
117,internal,30976958809,125,0
118,send2,31232405479,126,0
119,send2,31488185851,127,0
120,send1,31743662814,128,0
