,event_type,system_time,clock_time,message_queue_length
0,sendboth,921600787,0,0
1,internal,1093514111,1,0
2,sendboth,1268652884,2,0
3,internal,1442616790,3,0
4,internal,1615894548,4,0
5,internal,1787662057,5,0
6,internal,1961955453,6,0
7,internal,2136410176,7,0
8,send1,2308216807,8,0
9,sendboth,2484048019,9,0
10,send2,2656094003,10,0
11,internal,2830540297,11,0
12,internal,3002671088,12,0
13,send1,3179376147,13,0
14,internal,3349939291,14,0
15,internal,3523850974,15,0
16,sendboth,3698759884,16,0
17,send1,3871285019,17,0
18,send2,4043024758,18,0
19,internal,4213975976,19,0
20,internal,4386399566,20,0
21,internal,4556142333,21,0
22,internal,4731354468,22,0
23,internal,4902977156,23,0
24,receive,5075967861,24,0
25,internal,5247915092,25,0
26,internal,5423176345,26,0
27,send1,5594738881,27,0
28,internal,5769624836,28,0
29,send1,5941295409,29,0
30,send2,6114976659,30,0
31,internal,6289297836,31,0
32,internal,6464285274,32,0
33,internal,6639622765,33,0
34,internal,6813727619,34,0
35,internal,6990063700,35,0
36,internal,7163335583,36,0
37,send1,7336669401,37,0
38,internal,7511255230,38,0
39,internal,7686667461,39,0
40,sendboth,7861164598,40,0
41,internal,8036407917,41,0
42,internal,8211377835,42,0
43,send2,8386381144,43,0
44,receive,8561425036,44,0
45,internal,8736616706,45,0
46,internal,8911128380,46,0
47,receive,9087104497,47,0
48,internal,9257040384,48,0
49,internal,9425793484,49,0
50,send2,9594851265,50,0
51,send2,9771072396,51,0
52,internal,9944119179,52,0
53,internal,10117564805,53,0
54,internal,10286431919,54,0
55,internal,10461789818,55,0
56,internal,10634753985,56,0
57,send2,10806532289,57,0
58,send1,10979482451,58,0
59,send2,11153586424,59,0
60,sendboth,11326476390,60,0
61,internal,11500933149,61,0
62,internal,11673242905,62,0
63,internal,11845621510,63,0
64,internal,12018578171,64,0
65,internal,12191480642,65,0
66,internal,12361833453,66,0
67,receive,12536424827,67,0
68,internal,12712441905,68,0
69,send2,12884164293,69,0
70,internal,13056890143,70,0
71,sendboth,13234113065,71,0
72,internal,13406280407,72,0
73,sendboth,13580374567,73,0
74,internal,13756490199,74,0
75,internal,13931425157,75,0
76,internal,14108654916,76,0
77,internal,14284114692,77,0
78,internal,14457165695,78,0
79,receive,14631664848,79,0
80,internal,14805437504,80,0
81,internal,14980044587,81,0
82,internal,15150612957,82,0
83,internal,15323465895,83,0
84,sendboth,15496589895,84,0
85,internal,15670791312,85,0
86,send2,15843617759,86,0
87,internal,16012299379,87,0
88,internal,16187318105,88,0
89,internal,16362247223,89,0
90,internal,16538683722,90,0
91,internal,16715198196,91,0
92,internal,16887338423,92,0
93,sendboth,17058294092,93,0
94,internal,17234088193,94,0
95,internal,17409110765,95,0
96,internal,17584134743,96,0
97,internal,17756071429,97,0
98,internal,17928444636,98,0
99,internal,18102956754,99,0
100,internal,18278882582,100,0
101,send2,18454264817,101,0
102,receive,18631691140,102,0
103,send2,18804056086,103,0
104,send2,18978472212,104,0
105,internal,19148658455,105,0
106,internal,19322460744,106,0
107,internal,19495592410,107,0
108,receive,19670910348,108,0
109,internal,19847334596,109,0
110,send1,20022961417,110,0
111,internal,20195414181,111,0
112,send2,20370547439,112,0
113,internal,20540241137,113,0
114,receive,20711697341,114,0
115,internal,20881445214,115,0
116,internal,21050424882,116,0
117,internal,21221540087,117,0
118,internal,21391009887,118,0
119,internal,21563172234,119,0
120,internal,21732329237,120,0
121,internal,21904673915,121,0
122,internal,22078316938,122,0
123,receive,22247346976,123,0
124,send1,22419651528,124,0
125,internal,22591815105,125,0
126,internal,22768439623,126,0
127,sendboth,22940474953,127,0
128,internal,23111295019,128,0
129,receive,23286081672,129,0
130,internal,23457239934,130,0
131,send2,23631991139,131,0
132,internal,23806468122,132,0
133,internal,23978532789,133,0
134,internal,24154185964,134,0
135,receive,24328778504,135,0
136,internal,24504151622,136,0
137,send1,24678809349,137,0
138,internal,24854796680,138,0
139,internal,25028261949,139,0
140,internal,25199545945,140,0
141,internal,25374111287,141,0
142,internal,25547176676,142,0
143,send2,25720428748,143,0
144,internal,25893493522,144,0
145,internal,26063776255,145,0
146,internal,26237046305,146,0
147,internal,26408931936,147,0
148,send2,26584193934,148,0
149,receive,26755995998,149,0
150,internal,26931050596,150,0
151,internal,27106923524,151,0
152,internal,27282702516,152,0
153,internal,27456998908,153,0
154,internal,27629831332,154,0
155,send1,27804099774,155,0
156,internal,27979470341,156,0
157,send1,28153874540,157,0
158,internal,28328423097,158,0
159,send2,28503838165,159,0
160,sendboth,28678668222,160,0
161,internal,28854034904,161,0
162,internal,29030818137,162,0
163,internal,29206837509,163,0
164,internal,29381416170,164,0
165,internal,29556225946,165,0
166,send1,29730667788,166,0
167,internal,29906955043,167,0
168,internal,30082302654,168,0
169,internal,30257965769,169,0
170,receive,30432438654,170,0
171,send2,30606946358,171,0
172,internal,30779724471,172,0
173,receive,30953723962,173,0
174,internal,31128417366,174,0
175,internal,31303396429,175,0
176,internal,31481647087,176,0
177,internal,31654343052,177,0
178,sendboth,31827338467,178,0
179,send2,32000207377,179,0
180,internal,32170266519,180,0
181,receive,32339430352,181,0
182,internal,32508422988,182,0
183,sendboth,32678563778,183,0
184,receive,32854841639,184,0
185,internal,33028943462,185,0
186,send2,33201803010,186,0
187,send2,33374680562,187,0
188,internal,33550799595,188,0
189,send2,33721561719,189,0
