,event_type,system_time,clock_time,message_queue_length
0,internal,1077849299,0,0
1,internal,1415986198,1,0
2,internal,1751603986,2,0
3,sendboth,2091514349,3,0
4,internal,2431192127,4,0
5,internal,2774982163,5,0
6,sendboth,3118656892,6,0
7,receive,3461531506,7,0
8,internal,3797545985,11,0
9,receive,4135770255,12,0
10,receive,4474807451,13,0
11,receive,4812658882,15,0
12,sendboth,5152635356,16,0
13,send2,5495886460,17,0
14,internal,5837122960,18,0
15,internal,6175797319,19,0
16,internal,6515182238,20,0
17,internal,6856547724,21,0
18,internal,7199922861,22,0
19,sendboth,7538359106,23,0
20,internal,7879272621,24,0
21,internal,8221569330,25,0
22,receive,8563739856,26,0
23,internal,8904128181,32,0
24,internal,9244254799,33,0
25,internal,9587362724,34,0
26,send2,9927870184,35,0
27,internal,10267393142,36,0
28,internal,10608127191,37,0
29,receive,10946298676,38,0
30,receive,11287429562,41,0
31,receive,11628361230,42,0
32,receive,11968672653,43,0
33,internal,12308198155,45,0
34,receive,12646344779,46,0
35,internal,12987351590,48,0
36,internal,13326281560,49,0
37,internal,13664119407,50,0
38,sendboth,14004979966,51,0
39,internal,14344387843,52,0
40,internal,14684791590,53,0
41,receive,15024661105,54,0
42,sendboth,15365021271,57,0
43,internal,15705431508,58,0
44,internal,16047386649,59,0
45,internal,16384916739,60,0
46,internal,16726111367,61,0
47,receive,17061783428,62,0
48,receive,17402356225,66,0
49,receive,17741614189,67,0
50,receive,18081836193,68,0
51,internal,18422387521,70,0
52,internal,18762222561,71,0
53,receive,19098182370,72,0
54,receive,19438333388,73,0
55,internal,19780239595,75,0
56,receive,20119495923,76,0
57,sendboth,20457948298,77,0
58,internal,20796297186,78,0
59,receive,21134829053,79,0
60,internal,21474583912,82,0
61,sendboth,21815396885,83,0
62,internal,22158030902,84,0
63,internal,22501369343,85,0
64,internal,22841374082,86,0
65,send2,23184786418,87,0
66,internal,23524806874,88,0
67,sendboth,23864344771,89,0
68,internal,24207990075,90,0
69,internal,24549067797,91,0
70,receive,24890013758,92,0
71,internal,25228344336,97,0
72,receive,25566741755,98,0
73,send2,25907835831,100,0
74,internal,26247367988,101,0
75,sendboth,26588348554,102,0
76,internal,26924581606,103,0
77,internal,27265409813,104,0
78,receive,27607158956,105,0
79,internal,27947676007,109,0
80,send1,28288218090,110,0
81,internal,28625601621,111,0
82,internal,28964331060,112,0
83,receive,29301994472,113,0
84,send1,29641123024,116,0
85,internal,29979006872,117,0
86,receive,30319381043,118,0
87,internal,30657951500,119,0
88,receive,30999501374,120,0
89,receive,31338110929,122,0
90,internal,31675685547,124,0
91,internal,32015560077,125,0
92,internal,32352352967,126,0
93,receive,32691110697,127,1
94,receive,33028837452,128,0
95,sendboth,33364481395,129,0
96,internal,33704072397,130,0
97,receive,34043508355,131,0
98,internal,34381534664,134,0
99,internal,34718281305,135,0
100,internal,35059773010,136,0
101,internal,35401972023,137,0
102,receive,35741066594,138,0
103,internal,36082051015,141,0
104,internal,36420571596,142,0
105,internal,36760986128,143,0
106,send1,37102466375,144,0
107,internal,37441014990,145,0
108,receive,37779518170,146,0
109,internal,38120602047,149,0
110,internal,38460618807,150,0
111,receive,38797033946,151,0
112,receive,39137219217,152,0
113,receive,39477556895,154,0
114,receive,39813443806,155,0
115,internal,40153381491,157,0
116,internal,40492397082,158,0
117,internal,40828952533,159,0
118,internal,41170349693,160,0
119,internal,41508960363,161,0
120,sendboth,41849068020,162,0
121,internal,42190737051,163,0
122,internal,42526548124,164,0
123,send2,42864413419,165,0
124,internal,43207620590,166,0
125,internal,43546463136,167,0
126,sendboth,43887019981,168,0
127,send2,44226098555,169,0
128,internal,44565762425,170,0
129,internal,44909808708,171,0
130,receive,45249724086,172,0
131,internal,45588322477,178,0
132,receive,45927121004,179,0
133,internal,46262904410,181,0
134,internal,46603616079,182,0
135,internal,46942161998,183,0
136,internal,47277770333,184,0
137,internal,47613033360,185,0
138,send1,47951510728,186,0
139,receive,48290847361,187,0
140,sendboth,48626175853,190,0
141,internal,48961435397,191,0
142,send1,49296483426,192,0
143,internal,49635262702,193,0
144,receive,49974224115,194,0
145,receive,50310189058,197,0
146,send1,50646479645,199,0
147,internal,50984773392,200,0
148,internal,51320738067,201,0
149,receive,51655953280,202,0
150,send1,51995289028,204,0
151,internal,52338195874,205,0
152,internal,52678170806,206,0
153,send2,53020456936,207,0
154,send1,53363024134,208,0
155,send2,53704813632,209,0
156,internal,54047173626,210,0
157,internal,54387695481,211,0
158,send2,54724329527,212,0
159,internal,55065594013,213,0
160,receive,55407443724,214,0
161,sendboth,55746635148,219,0
162,internal,56088275009,220,0
163,receive,56428589400,221,0
164,internal,56767210471,223,0
