,event_type,system_time,clock_time,message_queue_length
0,internal,1274535974,0,0
1,internal,1777398523,1,0
2,internal,2286648951,2,0
3,sendboth,2790280296,3,0
4,internal,3295756843,4,0
5,internal,3804553195,5,0
6,internal,4309670297,6,0
7,receive,4816129280,7,0
8,internal,5320276871,8,0
9,send1,5826155308,9,0
10,internal,6329924327,10,0
11,internal,6837999382,11,0
12,receive,7344010087,12,0
13,receive,7847012124,13,0
14,send2,8353487859,14,0
15,internal,8858784475,15,0
16,receive,9362207348,16,0
17,internal,9869207057,17,0
18,send1,10375337286,18,0
19,send1,10881224700,19,0
20,sendboth,11387883909,20,0
21,internal,11896242265,21,0
22,internal,12402264571,22,0
23,send1,12909358931,23,0
24,internal,13416530374,24,0
25,send2,13921078990,25,0
26,internal,14427609597,26,0
27,sendboth,14933171946,27,0
28,send2,15438858046,28,0
29,internal,15945313034,29,0
30,receive,16453665893,30,0
31,receive,16964198262,39,0
32,receive,17470506398,41,0
33,send1,17973422880,43,0
34,internal,18482235983,44,0
35,internal,18988841748,45,0
36,send2,19494243660,46,0
37,send2,20003511801,47,0
38,send1,20510469716,48,0
39,internal,21017015640,49,0
40,receive,21523993080,50,0
41,send2,22027813633,54,0
42,receive,22532081402,55,0
43,receive,23036800670,57,0
44,internal,23542136010,58,0
45,send2,24046549382,59,0
46,receive,24556176378,60,0
47,receive,25063769927,61,0
48,sendboth,25573861255,62,0
49,internal,26079996496,63,0
50,receive,26585421725,64,0
51,sendboth,27094227335,66,0
52,internal,27603522793,67,0
53,internal,28110392986,68,0
54,receive,28616265101,69,0
55,internal,29120738711,71,0
56,receive,29623635028,72,0
57,receive,30128209719,73,0
58,receive,30635451698,79,0
59,internal,31143986079,82,0
60,receive,31653485393,83,0
61,receive,32157791596,84,0
62,receive,32661598936,85,0
63,internal,33169260687,86,0
64,internal,33676645682,87,0
65,receive,34178282353,88,0
66,receive,34686790083,91,0
67,receive,35193207477,92,0
68,sendboth,35703845765,94,0
69,send2,36213052741,95,0
70,internal,36721671404,96,0
71,sendboth,37227914379,97,0
72,send1,37734388096,98,0
73,internal,38238302475,99,0
74,sendboth,38745644624,100,0
75,internal,39252070633,101,0
76,send2,39758811508,102,0
77,internal,40264138542,103,0
78,sendboth,40770290824,104,0
79,internal,41277615180,105,0
80,receive,41785296226,106,0
81,send1,42296585037,110,0
82,sendboth,42804987978,111,0
83,internal,43312670995,112,0
84,internal,43820521237,113,0
85,internal,44330134660,114,0
86,receive,44838650690,115,0
87,receive,45346252002,123,0
88,internal,45852349613,125,0
89,internal,46356746046,126,0
90,internal,46864532365,127,0
91,sendboth,47370313651,128,0
92,internal,47880879933,129,0
93,receive,48386264940,130,0
94,internal,48894158501,132,0
95,internal,49397327606,133,0
96,internal,49903494984,134,0
97,receive,50410668584,135,0
98,send1,50917249859,140,0
99,receive,51421577616,141,0
100,internal,51923984022,143,0
101,receive,52428691478,144,0
102,internal,52935389763,145,0
103,internal,53437693363,146,0
104,receive,53941242130,147,0
105,receive,54446511878,150,0
106,sendboth,54953615184,152,0
107,receive,55459820393,153,0
108,internal,55965606410,156,0
109,internal,56470493732,157,0
110,internal,56986046671,158,0
111,internal,57495418594,159,0
112,internal,58002349209,160,0
113,sendboth,58508961238,161,0
114,internal,59017314465,162,0
115,receive,59523114267,163,0
116,receive,60029980979,167,0
